student_id,student_name,email_id,password,std,math_grade,english_grade,science_grade,history_grade,overall_grade,assignment_completion,engagement_score,math_lec_present,science_lec_present,history_lec_present,english_lec_present,attendance_ratio,login_frequency_per_week,average_session_duration_minutes,learning_style,content_type_preference,completed_lessons,practice_tests_taken,lms_test_scores,teacher_comments_summary,risk_score,is_at_risk,suggestions_required
S1017,Nicholas Arnold,nicholas.arnold6234@gmail.com,p1017,12,63,47,55,55,55,0.91,0.83,10,7,16,16,0.61,1,55,Reading/Writing,Mixed,7,8,73,Average progress,39.56,0,No
S1018,Maria Montgomery,maria.montgomery5891@gmail.com,p1018,11,42,89,42,67,60,0.64,0.38,5,5,3,18,0.39,5,45,Reading/Writing,Videos,13,3,92,Needs improvement in basics,73.19,1,Yes
S1019,Michelle Ray,michelle.ray9901@outlook.com,p1019,11,61,42,69,40,53,0.52,0.63,19,14,17,16,0.82,5,40,Visual,Mixed,1,8,90,Average progress,51.08,0,No
S1020,Janet Williams,janet.williams721@outlook.com,p1020,10,92,93,96,75,89,0.65,0.35,11,9,6,1,0.34,5,44,Kinesthetic,Videos,16,7,46,Needs improvement in basics,64.89,1,Yes
S1021,Jeremy Roberts,jeremy.roberts8795@edu.in,p1021,12,41,83,61,49,58.5,0.63,0.72,7,10,6,8,0.39,3,64,Reading/Writing,Texts,5,0,79,Good participation,43.64,0,No
S1022,Christopher Hall,christopher.hall6211@gmail.com,p1022,12,63,97,48,82,72.5,0.95,0.49,5,7,19,2,0.41,3,19,Auditory,Interactive,7,3,55,Falling behind in multiple areas,66.81,1,Yes
S1023,Craig Ramirez,craig.ramirez9054@gmail.com,p1023,12,83,42,68,56,62.25,0.86,0.67,20,14,20,5,0.74,1,82,Auditory,Texts,0,6,36,Lacks focus,34.71,0,No
S1024,Cynthia Diaz,cynthia.diaz5935@outlook.com,p1024,10,69,61,86,96,78,0.7,0.66,12,14,15,15,0.7,3,34,Visual,Mixed,2,0,45,Lacks focus,38.1,0,No
S1025,Mitchell Clark,mitchell.clark1149@yahoo.com,p1025,12,77,45,76,98,74,0.99,0.95,19,2,19,14,0.68,1,34,Kinesthetic,Mixed,14,7,46,Needs improvement in basics,43.52,0,No
S1026,Joseph Zuniga,joseph.zuniga3743@gmail.com,p1026,12,41,41,62,62,51.5,0.68,0.68,15,17,2,3,0.46,4,31,Auditory,Interactive,16,1,64,Good participation,39.61,0,No
S1027,Deborah Lynch,deborah.lynch1317@outlook.com,p1027,11,99,62,52,46,64.75,0.43,0.71,12,20,8,7,0.59,2,44,Reading/Writing,Interactive,6,7,52,Average progress,53.21,0,No
S1028,George Daniel,george.daniel1664@yahoo.com,p1028,10,60,83,71,83,74.25,0.56,0.58,4,4,7,4,0.24,1,82,Kinesthetic,Interactive,13,3,98,Can do better with more effort,37.16,0,No
S1029,Frank Gray,frank.gray4564@edu.in,p1029,11,72,41,85,92,72.5,0.66,0.96,12,13,8,11,0.55,1,49,Visual,Mixed,2,7,38,Falling behind in multiple areas,59,0,No
S1030,Veronica Bowman,veronica.bowman5987@edu.in,p1030,9,51,77,91,46,66.25,0.49,0.84,18,18,13,12,0.76,4,79,Reading/Writing,Texts,17,0,47,Needs improvement in basics,62.69,1,Yes
S1031,Angela Cohen,angela.cohen6075@yahoo.com,p1031,12,97,56,86,83,80.5,0.97,0.5,17,3,15,15,0.62,5,51,Kinesthetic,Interactive,4,4,77,Average progress,43.88,0,No
S1032,Megan Parsons,megan.parsons3442@outlook.com,p1032,9,61,74,87,54,69,0.86,0.89,19,19,12,6,0.7,6,60,Visual,Videos,19,8,95,Can do better with more effort,10.35,0,No
S1033,Jeremy Johnson,jeremy.johnson1179@outlook.com,p1033,12,83,73,62,73,72.75,0.56,0.6,16,5,15,1,0.46,5,58,Kinesthetic,Mixed,14,6,52,Average progress,49.84,0,No
S1034,Leslie Adams,leslie.adams8761@yahoo.com,p1034,9,64,62,84,85,73.75,0.75,0.88,11,1,14,18,0.55,5,89,Auditory,Mixed,5,2,39,Lacks focus,32.22,0,No
S1035,Jason Hahn,jason.hahn2687@yahoo.com,p1035,11,88,69,56,84,74.25,0.83,0.88,2,9,7,14,0.4,1,13,Auditory,Texts,2,3,67,Average progress,45.42,0,No
S1036,Nancy Edwards,nancy.edwards6226@edu.in,p1036,10,66,91,94,43,73.5,0.96,0.43,16,8,17,7,0.6,1,69,Visual,Texts,17,9,88,Lacks focus,20.7,0,No
S1037,Diana Foster,diana.foster9135@outlook.com,p1037,9,98,47,79,53,69.25,0.93,0.79,1,3,5,10,0.24,3,74,Auditory,Interactive,19,6,97,Average progress,35.11,0,No
S1038,Robin Ellis,robin.ellis5323@yahoo.com,p1038,11,81,61,60,53,63.75,0.71,0.5,17,2,20,9,0.6,3,5,Visual,Mixed,2,5,72,Average progress,54.98,0,No
S1039,Joseph Wright,joseph.wright3762@gmail.com,p1039,9,67,83,41,55,61.5,0.86,0.51,18,1,10,2,0.39,2,17,Auditory,Videos,7,3,41,Falling behind in multiple areas,73.19,1,Yes
S1040,Anna Baker,anna.baker5178@gmail.com,p1040,9,99,97,76,46,79.5,0.74,0.51,13,12,19,8,0.65,2,42,Kinesthetic,Interactive,18,2,82,Good participation,27.65,0,No
S1041,Brenda Hurst,brenda.hurst4396@edu.in,p1041,10,55,75,45,71,61.5,0.73,0.81,5,13,18,1,0.46,6,49,Kinesthetic,Texts,17,1,43,Needs improvement in basics,63.96,1,Yes
S1042,Reginald Robinson,reginald.robinson3466@gmail.com,p1042,11,54,44,83,58,59.75,0.47,0.46,6,10,10,20,0.57,3,44,Visual,Videos,14,9,81,Falling behind in multiple areas,66.45,1,Yes
S1043,Whitney Hicks,whitney.hicks3493@outlook.com,p1043,10,86,52,57,41,59,0.48,0.3,1,17,2,2,0.28,1,19,Reading/Writing,Texts,13,8,90,Lacks focus,45.58,0,No
S1044,Christopher Williams,christopher.williams6492@edu.in,p1044,12,90,68,69,49,69,0.72,0.8,10,11,6,7,0.42,4,54,Kinesthetic,Interactive,15,2,70,Can do better with more effort,30.02,0,No
S1045,Daniel Burton,daniel.burton2350@edu.in,p1045,10,83,70,61,89,75.75,0.56,0.42,5,5,3,16,0.36,3,6,Kinesthetic,Videos,2,6,50,Falling behind in multiple areas,76.14,1,Yes
S1046,Laura Henderson,laura.henderson2297@outlook.com,p1046,10,94,86,93,56,82.25,0.41,0.37,1,9,19,4,0.41,1,57,Visual,Texts,14,0,77,Needs improvement in basics,74.99,1,Yes
S1047,Bryan James,bryan.james9207@yahoo.com,p1047,9,91,96,72,76,83.75,0.83,0.47,11,13,5,17,0.57,3,30,Visual,Mixed,18,7,85,Falling behind in multiple areas,51.4,0,No
S1048,Wendy Rice,wendy.rice9587@outlook.com,p1048,9,96,94,69,51,77.5,0.42,0.57,7,20,7,4,0.48,5,70,Reading/Writing,Mixed,7,0,64,Can do better with more effort,45.08,0,No
S1049,Tasha Valencia,tasha.valencia9570@edu.in,p1049,9,42,55,56,45,49.5,0.76,0.63,18,11,7,3,0.49,3,79,Visual,Interactive,1,1,73,Needs improvement in basics,76.09,1,Yes
S1050,Alexander Le,alexander.le5940@edu.in,p1050,11,76,81,82,61,75,0.72,0.33,20,4,10,9,0.54,6,37,Reading/Writing,Videos,16,0,68,Falling behind in multiple areas,69.99,1,Yes
S1051,Erin Herrera,erin.herrera2276@yahoo.com,p1051,10,90,69,71,71,75.25,0.98,0.98,10,11,1,15,0.46,5,86,Visual,Texts,11,3,44,Lacks focus,21.49,0,No
S1052,Joseph Davidson,joseph.davidson1499@edu.in,p1052,12,46,96,81,80,75.75,0.69,0.8,15,9,11,20,0.69,1,89,Kinesthetic,Texts,18,1,41,Falling behind in multiple areas,57.06,0,No
S1053,Daniel Graham,daniel.graham1806@gmail.com,p1053,9,60,94,90,59,75.75,0.44,0.53,4,7,7,3,0.26,5,63,Visual,Mixed,10,0,37,Needs improvement in basics,80.59,1,Yes
S1054,Shawn Mckay,shawn.mckay2631@yahoo.com,p1054,12,48,55,53,40,49,0.73,0.52,16,16,6,12,0.62,3,30,Auditory,Interactive,17,0,96,Falling behind in multiple areas,68.22,1,Yes
S1055,Nancy Baker,nancy.baker9781@edu.in,p1055,10,78,51,97,93,79.75,0.9,0.61,15,5,6,15,0.51,5,25,Kinesthetic,Videos,12,1,30,Falling behind in multiple areas,63.14,1,Yes
S1056,Vincent White,vincent.white6314@gmail.com,p1056,10,57,56,49,86,62,1,0.74,15,6,13,20,0.68,6,53,Auditory,Mixed,13,5,71,Good participation,22.17,0,No
S1057,Rita Harrell,rita.harrell9773@edu.in,p1057,10,43,55,86,92,69,0.66,0.4,12,19,16,8,0.69,4,84,Auditory,Mixed,11,1,60,Lacks focus,41.29,0,No
S1058,Kenneth Fowler,kenneth.fowler8679@edu.in,p1058,12,64,51,99,97,77.75,0.59,0.43,8,1,13,12,0.42,5,75,Visual,Mixed,14,1,59,Needs improvement in basics,71.85,1,Yes
S1059,Chelsea Hernandez,chelsea.hernandez9074@outlook.com,p1059,12,99,47,90,45,70.25,0.94,0.9,8,16,2,13,0.49,6,75,Visual,Texts,7,7,72,Consistent performance,20.61,0,No
S1060,Kathryn Ryan,kathryn.ryan1886@gmail.com,p1060,12,53,59,75,58,61.25,0.51,0.48,18,18,19,15,0.88,5,70,Auditory,Interactive,1,4,55,Lacks focus,44.3,0,No
S1061,Kimberly Moreno,kimberly.moreno5583@outlook.com,p1061,10,89,42,73,57,65.25,0.77,0.57,6,13,19,11,0.61,2,41,Kinesthetic,Mixed,7,7,41,Falling behind in multiple areas,64.99,1,Yes
S1062,Aaron Nguyen,aaron.nguyen4818@gmail.com,p1062,10,97,55,48,45,61.25,0.64,0.91,5,1,19,17,0.52,4,18,Visual,Mixed,4,7,88,Can do better with more effort,28.4,0,No
S1063,Andrew Hickman,andrew.hickman2601@edu.in,p1063,9,48,69,81,84,70.5,0.42,0.76,2,10,18,12,0.52,1,76,Kinesthetic,Texts,1,1,98,Consistent performance,40.28,0,No
S1064,Natasha Decker,natasha.decker63@edu.in,p1064,11,65,84,67,72,72,0.61,0.54,12,7,6,20,0.56,6,11,Visual,Videos,9,6,40,Falling behind in multiple areas,67.76,1,Yes
S1065,Kyle Brown,kyle.brown8211@outlook.com,p1065,12,92,62,50,62,66.5,0.56,0.78,4,5,2,18,0.36,5,42,Auditory,Videos,9,8,76,Average progress,46.81,0,No
S1066,Natalie Arroyo,natalie.arroyo8327@yahoo.com,p1066,11,41,67,53,62,55.75,0.81,0.31,13,13,19,16,0.76,4,49,Auditory,Videos,3,7,52,Lacks focus,42.19,0,No
S1067,Christopher Tucker,christopher.tucker4899@gmail.com,p1067,12,59,90,78,65,73,0.97,0.81,17,16,6,3,0.52,1,26,Visual,Texts,3,8,72,Shows initiative,21.88,0,No
S1068,Chad Hodges,chad.hodges2514@yahoo.com,p1068,12,67,79,94,52,73,0.56,0.64,16,20,20,9,0.81,4,48,Auditory,Texts,7,7,68,Can do better with more effort,29.41,0,No
S1069,Katie Anderson,katie.anderson2656@outlook.com,p1069,11,86,93,86,46,77.75,0.89,0.87,9,14,15,7,0.56,6,85,Visual,Interactive,5,3,84,Shows initiative,22.79,0,No
S1070,Thomas Pierce,thomas.pierce9823@gmail.com,p1070,11,99,44,93,54,72.5,0.43,0.97,1,11,6,19,0.46,2,84,Reading/Writing,Videos,14,9,47,Lacks focus,25.76,0,No
S1071,Joseph Brennan,joseph.brennan8015@outlook.com,p1071,12,46,59,58,83,61.5,0.72,0.95,15,19,3,5,0.52,6,39,Visual,Texts,17,6,71,Good participation,21.92,0,No
S1072,Rodney Lewis,rodney.lewis1842@gmail.com,p1072,10,83,79,93,66,80.25,0.44,0.94,12,2,11,19,0.55,6,64,Kinesthetic,Videos,7,8,55,Can do better with more effort,26.38,0,No
S1073,Amber Blair,amber.blair5048@outlook.com,p1073,9,47,95,54,65,65.25,0.96,0.66,5,8,8,10,0.39,1,7,Auditory,Interactive,19,8,47,Lacks focus,24.71,0,No
S1074,James Collins,james.collins959@yahoo.com,p1074,12,86,83,67,72,77,0.86,0.55,18,13,18,20,0.86,1,71,Visual,Mixed,6,3,70,Good participation,28.01,0,No
S1075,Wanda Santos,wanda.santos9305@yahoo.com,p1075,9,74,40,63,54,57.75,0.79,0.63,20,7,17,12,0.7,5,76,Visual,Videos,19,6,71,Average progress,41.02,0,No
S1076,Samuel Holmes,samuel.holmes1413@gmail.com,p1076,10,53,96,47,75,67.75,0.89,0.78,2,12,19,8,0.51,3,59,Visual,Mixed,16,5,62,Can do better with more effort,23.49,0,No
S1077,David Walker,david.walker1143@edu.in,p1077,10,56,69,82,84,72.75,0.79,0.92,4,8,19,3,0.42,6,13,Kinesthetic,Mixed,18,2,72,Consistent performance,22.8,0,No
S1078,Matthew Chapman,matthew.chapman2113@yahoo.com,p1078,9,75,60,48,94,69.25,0.98,0.44,15,16,17,19,0.84,1,73,Auditory,Interactive,1,9,43,Falling behind in multiple areas,60.26,1,Yes
S1079,Jerry Robinson,jerry.robinson9017@edu.in,p1079,12,89,59,86,66,75,0.83,0.94,6,18,4,11,0.49,6,32,Visual,Interactive,11,5,84,Shows initiative,19.19,0,No
S1080,Chad Welch,chad.welch4352@yahoo.com,p1080,9,79,45,72,96,73,0.95,0.87,12,19,7,8,0.57,6,19,Auditory,Mixed,18,7,87,Shows initiative,12.03,0,No
S1081,Jeremy Whitehead,jeremy.whitehead3480@edu.in,p1081,12,43,61,72,44,55,0.71,0.99,18,4,5,13,0.5,1,35,Kinesthetic,Videos,4,1,39,Lacks focus,38.15,0,No
S1082,Michele Jones,michele.jones5117@yahoo.com,p1082,11,41,57,58,41,49.25,0.47,0.92,20,12,16,10,0.72,2,63,Reading/Writing,Mixed,11,2,57,Falling behind in multiple areas,66.75,1,Yes
S1083,John Caldwell,john.caldwell6128@edu.in,p1083,12,45,47,42,94,57,0.72,0.5,4,16,6,18,0.55,2,86,Kinesthetic,Texts,16,7,43,Lacks focus,36.45,0,No
S1084,Jason Anderson,jason.anderson8489@edu.in,p1084,11,93,78,49,97,79.25,0.48,0.37,1,17,14,12,0.55,6,58,Reading/Writing,Texts,4,3,55,Needs improvement in basics,76.62,1,Yes
S1085,Selena Duncan,selena.duncan1992@edu.in,p1085,11,81,71,79,72,75.75,0.76,0.38,15,4,20,7,0.57,2,72,Visual,Texts,1,3,46,Needs improvement in basics,73.85,1,Yes
S1086,Thomas Mueller,thomas.mueller3691@yahoo.com,p1086,9,43,72,86,55,64,0.69,0.5,18,20,2,11,0.64,6,89,Auditory,Texts,3,1,63,Can do better with more effort,44.14,0,No
S1087,Lindsey Lee,lindsey.lee5549@gmail.com,p1087,11,93,92,81,62,82,0.77,0.73,14,9,18,10,0.64,5,51,Reading/Writing,Interactive,5,9,43,Needs improvement in basics,54.39,0,No
S1088,Collin Jordan,collin.jordan9648@gmail.com,p1088,9,68,55,40,77,60,0.41,0.86,3,5,18,3,0.36,1,46,Auditory,Videos,8,0,55,Can do better with more effort,45.36,0,No
S1089,Rodney Owens,rodney.owens9651@yahoo.com,p1089,9,57,51,68,94,67.5,0.52,0.93,15,17,13,7,0.65,6,27,Visual,Interactive,9,6,63,Good participation,27.55,0,No
S1090,Jessica Nunez,jessica.nunez127@yahoo.com,p1090,10,65,77,89,55,71.5,0.69,0.74,5,17,18,4,0.55,2,69,Auditory,Texts,10,3,53,Can do better with more effort,32.7,0,No
S1091,Tracey Garcia,tracey.garcia974@gmail.com,p1091,9,83,91,73,53,75,0.97,0.3,3,2,17,8,0.38,2,58,Reading/Writing,Mixed,1,5,99,Lacks focus,37.58,0,No
S1092,Richard Morgan,richard.morgan1114@yahoo.com,p1092,10,73,73,90,68,76,0.63,0.43,7,2,13,8,0.38,4,15,Visual,Texts,8,7,49,Needs improvement in basics,70.32,1,Yes
S1093,Michelle Wright,michelle.wright5423@gmail.com,p1093,10,49,53,52,65,54.75,0.65,0.37,6,7,12,6,0.39,4,67,Visual,Mixed,19,6,68,Needs improvement in basics,71.21,1,Yes
S1094,James West,james.west8433@gmail.com,p1094,9,75,75,93,74,79.25,0.83,0.55,1,4,3,13,0.26,2,26,Reading/Writing,Videos,16,6,74,Average progress,43.54,0,No
S1095,Robert Ramirez,robert.ramirez4572@yahoo.com,p1095,12,53,72,40,54,54.75,0.76,0.65,19,13,7,12,0.64,5,58,Auditory,Texts,8,5,63,Can do better with more effort,35.26,0,No
S1096,John Leblanc,john.leblanc3520@edu.in,p1096,12,70,62,73,42,61.75,0.58,0.33,7,20,1,3,0.39,3,89,Kinesthetic,Texts,7,3,51,Falling behind in multiple areas,82.21,1,Yes
S1097,Scott Callahan,scott.callahan9365@yahoo.com,p1097,9,87,89,68,62,76.5,0.65,0.54,4,11,5,6,0.32,6,40,Auditory,Texts,4,3,62,Can do better with more effort,42.48,0,No
S1098,Andrea Williams,andrea.williams3991@edu.in,p1098,11,54,84,87,68,73.25,0.53,0.43,12,3,1,19,0.44,4,62,Reading/Writing,Texts,4,8,35,Needs improvement in basics,74.61,1,Yes
S1099,Yvette Huff,yvette.huff6679@edu.in,p1099,9,47,41,86,73,61.75,0.98,0.75,20,2,4,11,0.46,6,24,Auditory,Videos,5,4,45,Lacks focus,33.19,0,No
S1100,Tanya House,tanya.house1555@yahoo.com,p1100,11,53,80,52,72,64.25,0.48,0.62,18,16,1,4,0.49,4,20,Kinesthetic,Texts,15,8,52,Can do better with more effort,35.61,0,No
S1101,Melinda Martin,melinda.martin7072@gmail.com,p1101,12,62,60,87,80,72.25,0.62,0.65,9,3,13,15,0.5,1,60,Auditory,Mixed,0,8,47,Falling behind in multiple areas,67.47,1,Yes
S1102,Todd Lewis,todd.lewis6949@outlook.com,p1102,11,99,41,88,80,77,0.42,0.6,19,15,14,2,0.62,1,54,Visual,Videos,8,3,43,Falling behind in multiple areas,70.82,1,Yes
S1103,Richard Brown,richard.brown7661@edu.in,p1103,9,96,66,92,62,79,0.53,0.97,4,17,15,15,0.64,2,70,Auditory,Interactive,6,1,79,Shows initiative,27.99,0,No
S1104,Nicholas Galloway,nicholas.galloway1622@gmail.com,p1104,11,79,96,68,46,72.25,0.87,0.45,1,16,17,17,0.64,1,78,Visual,Texts,10,1,90,Needs improvement in basics,63.11,1,Yes
S1105,Joseph Bowers,joseph.bowers6606@gmail.com,p1105,10,60,48,78,42,57,0.52,0.66,9,20,12,2,0.54,1,17,Kinesthetic,Texts,14,8,65,Average progress,49.44,0,No
S1106,Spencer Henderson,spencer.henderson1800@outlook.com,p1106,10,55,40,63,97,63.75,0.45,0.82,15,7,7,7,0.45,3,19,Auditory,Mixed,4,8,44,Needs improvement in basics,68.22,1,Yes
S1107,Susan Cowan,susan.cowan3149@yahoo.com,p1107,9,84,50,65,71,67.5,0.68,0.69,8,16,19,16,0.74,5,77,Visual,Videos,18,2,34,Needs improvement in basics,61.44,1,Yes
S1108,Angela Higgins,angela.higgins8796@yahoo.com,p1108,9,57,42,56,70,56.25,0.41,0.95,15,5,3,5,0.35,2,31,Kinesthetic,Texts,5,4,82,Average progress,54.22,0,No
S1109,Eric Phillips,eric.phillips2306@edu.in,p1109,9,86,91,46,57,70,0.45,0.56,15,2,18,16,0.64,3,12,Visual,Videos,13,4,77,Can do better with more effort,36.24,0,No
S1110,Tanya Riley,tanya.riley3016@edu.in,p1110,12,92,62,52,82,72,0.88,0.62,18,1,4,19,0.52,2,74,Visual,Videos,19,1,40,Falling behind in multiple areas,60.92,1,Yes
S1111,Amy Adkins,amy.adkins7589@outlook.com,p1111,12,63,65,44,46,54.5,0.86,0.36,7,13,3,2,0.31,5,54,Visual,Mixed,13,1,31,Lacks focus,50.16,0,No
S1112,Brian Silva,brian.silva1245@yahoo.com,p1112,12,65,43,65,80,63.25,0.95,0.73,18,16,12,15,0.76,2,71,Auditory,Mixed,10,9,53,Can do better with more effort,21.04,0,No
S1113,Wesley Farrell,wesley.farrell9026@edu.in,p1113,10,64,57,88,40,62.25,0.91,0.5,16,5,12,4,0.46,6,30,Visual,Interactive,3,0,97,Good participation,40.49,0,No
S1114,Eric Yu,eric.yu838@gmail.com,p1114,11,99,94,42,53,72,0.81,0.41,2,3,17,2,0.3,6,40,Reading/Writing,Texts,9,1,41,Lacks focus,45.85,0,No
S1115,Christopher Lopez,christopher.lopez1538@gmail.com,p1115,10,99,45,46,91,70.25,0.43,0.68,4,15,6,10,0.44,6,25,Kinesthetic,Texts,1,6,88,Average progress,54.46,0,No
S1116,Brooke Leonard,brooke.leonard2734@yahoo.com,p1116,11,99,74,97,71,85.25,0.87,0.67,20,16,15,5,0.7,1,81,Kinesthetic,Interactive,3,0,96,Good participation,26.67,0,No
S1117,Joe Wilson,joe.wilson7966@edu.in,p1117,11,84,61,88,45,69.5,0.91,0.35,16,11,2,18,0.59,5,56,Auditory,Mixed,19,0,61,Lacks focus,35.79,0,No
S1118,Pamela Sanchez,pamela.sanchez3512@edu.in,p1118,9,80,82,78,78,79.5,0.88,0.79,3,19,8,4,0.42,3,15,Auditory,Mixed,9,8,65,Good participation,21.42,0,No
S1119,Brooke Harvey,brooke.harvey970@edu.in,p1119,9,68,54,92,49,65.75,0.71,0.74,2,18,14,1,0.44,3,12,Auditory,Videos,0,1,50,Average progress,58.01,0,No
S1120,Robert Silva,robert.silva6219@yahoo.com,p1120,12,54,61,40,46,50.25,0.54,0.43,3,9,5,18,0.44,4,61,Reading/Writing,Mixed,13,3,99,Falling behind in multiple areas,75.41,1,Yes
S1121,Alexandra Donovan,alexandra.donovan6406@gmail.com,p1121,9,84,99,88,65,84,0.91,0.63,5,8,3,20,0.45,3,50,Kinesthetic,Videos,17,2,95,Good participation,22.1,0,No
S1122,James Moran,james.moran7464@outlook.com,p1122,10,40,76,56,73,61.25,0.84,0.8,2,19,10,6,0.46,6,82,Kinesthetic,Interactive,11,3,38,Needs improvement in basics,63.59,1,Yes
S1123,John Foster,john.foster6940@outlook.com,p1123,10,64,91,82,69,76.5,0.99,0.67,19,5,7,20,0.64,6,6,Auditory,Videos,18,6,73,Can do better with more effort,16.64,0,No
S1124,Emily Evans,emily.evans2546@edu.in,p1124,10,46,81,64,75,66.5,0.49,0.58,20,17,11,20,0.85,4,68,Auditory,Interactive,11,9,88,Average progress,42.7,0,No
S1125,Leslie Walton,leslie.walton4871@yahoo.com,p1125,9,48,51,98,60,64.25,0.54,0.53,2,5,15,14,0.45,1,56,Visual,Interactive,4,1,53,Average progress,64.62,1,Yes
S1126,Charles Ellis,charles.ellis968@yahoo.com,p1126,9,63,86,42,99,72.5,0.53,0.73,2,14,2,10,0.35,3,69,Auditory,Interactive,3,1,92,Consistent performance,40.45,0,No
S1127,Yolanda Ferrell,yolanda.ferrell5148@gmail.com,p1127,11,40,88,54,56,59.5,0.88,0.96,20,7,5,18,0.62,5,15,Kinesthetic,Interactive,12,8,70,Average progress,33.17,0,No
S1128,Charles Lewis,charles.lewis831@gmail.com,p1128,11,83,81,68,72,76,0.51,0.77,18,9,11,9,0.59,4,10,Visual,Mixed,17,5,31,Needs improvement in basics,60.34,1,Yes
S1129,Joseph Mahoney,joseph.mahoney8248@edu.in,p1129,9,47,77,92,49,66.25,0.44,0.35,20,17,8,12,0.71,3,83,Reading/Writing,Texts,11,6,57,Falling behind in multiple areas,72.69,1,Yes
S1130,Nicole Suarez,nicole.suarez941@yahoo.com,p1130,10,63,57,82,90,73,1,0.62,14,3,13,10,0.5,1,80,Reading/Writing,Interactive,15,4,45,Falling behind in multiple areas,57.1,0,No
S1131,Mike Moore,mike.moore3054@gmail.com,p1131,9,50,84,71,86,72.75,0.41,0.92,15,8,11,19,0.66,5,68,Kinesthetic,Videos,5,4,88,Excellent progress,29.74,0,No
S1132,Martha Warner,martha.warner9759@gmail.com,p1132,12,90,74,65,81,77.5,0.9,0.37,12,13,17,6,0.6,5,59,Visual,Texts,6,3,30,Lacks focus,39.5,0,No
